Album,Artist,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,TrackURI,TrackID
Speak Now,Taylor Swift,Mean,0.568,0.761,4,-3.987,1,0.0459,0.452,0.0,0.217,0.789,163.974,237733,4,spotify:track:5yEPktRqvIhko5QFF3aBhQ,5yEPktRqvIhko5QFF3aBhQ
Speak Now,Taylor Swift,The Story of Us,0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,265667,4,spotify:track:3RBluWmSoG2pGA1OePzGJI,3RBluWmSoG2pGA1OePzGJI
Speak Now,Taylor Swift,Never Grow Up,0.714,0.305,2,-8.837,1,0.0305,0.819,0.0,0.174,0.554,124.91,290467,4,spotify:track:74WBGgUnpKrJXt6TETfR6Z,74WBGgUnpKrJXt6TETfR6Z
Speak Now,Taylor Swift,Enchanted,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,352187,4,spotify:track:10eBRyImhfqVvkiVEGf0N0,10eBRyImhfqVvkiVEGf0N0
Speak Now,Taylor Swift,Better Than Revenge,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37e-06,0.36,0.635,145.821,217160,4,spotify:track:1By2VQkUN0Frd8mKNV5NYC,1By2VQkUN0Frd8mKNV5NYC
Speak Now,Taylor Swift,Innocent,0.552,0.608,1,-5.29,0,0.0259,0.186,0.0,0.125,0.17,134.05,302253,4,spotify:track:3kfgJql90tzgoxByioAMXR,3kfgJql90tzgoxByioAMXR
Speak Now,Taylor Swift,Haunted,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08e-06,0.149,0.352,162.088,242080,4,spotify:track:11UaQaEp2LvdspTyyuE3ur,11UaQaEp2LvdspTyyuE3ur
Speak Now,Taylor Swift,Last Kiss,0.371,0.341,10,-9.475,1,0.0319,0.57,3.09e-05,0.101,0.196,89.038,367133,1,spotify:track:1D27z8xNzjW0Mwwt1NCWhJ,1D27z8xNzjW0Mwwt1NCWhJ
Speak Now,Taylor Swift,Long Live,0.418,0.68,7,-4.3,1,0.0347,0.036,7.59e-05,0.114,0.142,204.12,317453,4,spotify:track:7DjCRhhFo9PPzca1BjMLcf,7DjCRhhFo9PPzca1BjMLcf
Speak Now,Taylor Swift,Ours,0.608,0.569,0,-7.227,1,0.0284,0.537,0.0,0.097,0.238,159.845,237920,4,spotify:track:1EQn3Uc5AyUXoiPLeyCrrg,1EQn3Uc5AyUXoiPLeyCrrg
Speak Now,Taylor Swift,If This Was a Movie,0.511,0.719,4,-3.457,1,0.0265,0.166,4.54e-06,0.34,0.289,147.852,234547,4,spotify:track:0vvt4IZOMkRug195S4MUq0,0vvt4IZOMkRug195S4MUq0
Speak Now,Taylor Swift,Superman,0.582,0.765,7,-3.648,1,0.0324,0.0268,1.95e-06,0.103,0.559,131.982,275960,4,spotify:track:2R7C9dDqv1UPycvepBFziA,2R7C9dDqv1UPycvepBFziA
Red,Taylor Swift,State of Grace,0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,295187,4,spotify:track:5zyCYmiaVE5y26EZuwZbsw,5zyCYmiaVE5y26EZuwZbsw
Red,Taylor Swift,Red,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-05,0.091,0.641,124.978,220827,4,spotify:track:0cITLOYn1Sv4q27zZPqlNK,0cITLOYn1Sv4q27zZPqlNK
Red,Taylor Swift,Treacherous,0.705,0.621,2,-8.086,1,0.0334,0.101,4.3e-06,0.147,0.395,109.993,240773,4,spotify:track:0XfOV7qY3834QpFVwOb6CC,0XfOV7qY3834QpFVwOb6CC
Red,Taylor Swift,I Knew You Were Trouble,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,217973,4,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,72jCZdH0Lhg93z6Z4hBjgj
Red,Taylor Swift,All Too Well,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,327893,4,spotify:track:1q3RiD1tIWUpGsNFADMlvl,1q3RiD1tIWUpGsNFADMlvl
Red,Taylor Swift,22,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,230133,4,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA,3bIxTsfeNMO7Nt2J3EUKrA
Red,Taylor Swift,I Almost Do,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13e-05,0.182,0.233,145.865,242573,4,spotify:track:31pEV5lPJi7btskZoUr2yu,31pEV5lPJi7btskZoUr2yu
